from_city,to_city,distance_km,vehicle,cargo,is_peak,is_weekend,cost
Bahraich,Purnia,852.6,7.5T,15,0,1,37986.4
Vizianagaram,Srinagar,2516.49,18T,11,1,0,172603.93
Chittorgarh,Jalpaiguri,1968.92,7.5T,11,0,1,87317.02
Karimnagar,Haldwani,1496.64,18T,5,0,0,93879.33
Korba,Jhansi,721.33,7.5T,14,0,0,31982.79
Gwalior,Latur,1106.7,12T,3,1,0,63678.0
Jodhpur,Firozabad,756.14,12T,5,0,1,40873.21
Jaipur,Ranaghat,1847.09,12T,16,1,1,106482.85
Cuddalore,Sikar,2292.98,3.5T,2,1,1,83650.72
Phusro,Kharagpur,260.26,7.5T,18,0,0,12537.9
Udaipur,Jalgaon,561.29,25T,18,0,1,42494.87
Udaipur,Etawah,799.1,18T,3,1,1,53887.31
Kannur,Rajamahendravaram,1141.37,3.5T,12,0,0,41149.37
Sambalpur,Varanasi,552.27,7.5T,9,1,1,25035.08
Ramagundam,Jind,1529.52,12T,18,0,0,84465.68
Ajmer,Machilipatnam,1684.86,3.5T,1,1,1,58916.93
Hoshiarpur,Saharsa,1676.32,7.5T,6,1,1,75207.78
Nandurbar,Hanumangarh,1143.16,25T,17,1,0,90441.11
Bhiwani,Kadapa,2023.26,7.5T,17,1,1,94395.48
Robertsonpet,Rudrapur,2230.15,7.5T,3,0,1,98067.08
Unnao,Kakinada,1347.41,18T,2,0,1,83987.15
Ujjain,Purnia,1661.6,12T,8,0,0,93969.72
Beawar,Panchkula,728.39,12T,5,0,1,39327.98
Ranaghat,Hyderabad,1612.52,12T,14,0,1,88460.68
Patna,Jalandhar,1546.77,25T,17,1,1,113906.71
Mysore,Dibrugarh,3295.8,25T,8,1,0,252830.45
Machilipatnam,Hanumangarh,2091.07,25T,3,0,0,154501.9
Agra,Chandigarh,524.01,12T,8,1,0,29389.46
Dhulian,Davangere,2188.18,25T,11,1,1,167491.35
Alappuzha,Vadodara,1830.47,3.5T,5,1,0,66757.3
Rajkot,Veraval,202.29,3.5T,6,1,0,7492.61
Mirzapur,Dhulian,749.75,12T,18,1,0,41640.91
Meerut,Eluru,1766.71,12T,11,0,1,94699.33
Ozhukarai,Nagercoil,612.24,7.5T,13,1,1,30316.56
Ratlam,Agartala,2255.62,7.5T,8,1,1,105028.83
Chhatarpur,Rajkot,1270.88,3.5T,2,1,0,43357.6
Bhilwara,Thanjavur,2113.19,3.5T,5,1,0,71385.86
Shahjahanpur,Proddatur,1832.15,7.5T,5,0,1,80942.33
Jammu,Mirzapur,1501.17,3.5T,1,0,0,51960.9
Silchar,Surendranagar,2946.32,25T,3,1,1,215239.59
Asansol,Faridabad,1489.52,25T,8,1,1,108164.98
Orai,Jalpaiguri,1288.72,12T,11,1,0,75189.12
Tirunelveli,Vidisha,2055.07,18T,8,1,1,129484.72
Haldia,Ghaziabad,1734.62,25T,2,0,1,130903.73
Lucknow,Vaniyambadi,1989.85,3.5T,1,1,0,68006.04
Mathura,Damoh,563.29,12T,12,1,0,33659.73
Sambhal,Rudrapur,129.22,25T,12,1,1,11246.81
Proddatur,Vaniyambadi,285.17,12T,4,1,1,16445.7
Bahadurgarh,Rampur,291.82,12T,5,0,1,15834.78
Coimbatore,Sambalpur,1747.14,25T,5,0,0,126315.56
Rajamahendravaram,Ozhukarai,758.64,25T,4,0,1,56663.68
Porbandar,Bilaspur,1736.81,12T,17,1,0,96234.29
Bhavnagar,Bulandshahr,1214.3,12T,19,0,0,69808.3
Sambhal,Roorkee,199.38,7.5T,2,0,1,9355.31
Burhanpur,Hoshiarpur,1415.2,25T,18,1,0,109819.91
Jodhpur,Katihar,2020.24,18T,4,1,1,137572.15
Bidar,Haldia,1575.05,7.5T,6,0,0,73360.57
Dimapur,Sonipat,2350.71,3.5T,5,1,1,83720.72
Chhatarpur,Malegaon,926.41,25T,17,1,1,71491.01
Surat,Hassan,1220.09,12T,3,1,1,69753.96
Chandigarh,Chhatarpur,898.05,3.5T,18,1,0,33170.69
Thanjavur,Dhule,1528.73,7.5T,16,1,1,71537.83
Jabalpur,Pali,991.86,7.5T,6,1,1,43707.49
Nandurbar,Gulbarga,666.65,18T,9,1,1,43986.5
Orai,Silchar,1856.85,7.5T,19,0,0,81462.02
Junagadh,Mumbai,477.41,3.5T,12,1,1,17884.52
Proddatur,Nellore,203.37,3.5T,17,1,0,8264.71
Balurghat,Ambur,2221.12,18T,4,1,0,150649.81
Bengaluru,Ghaziabad,2178.12,7.5T,4,0,1,95883.92
Nadiad,Tirupati,1551.98,25T,4,0,1,114025.52
Delhi,Kolhapur,1702.84,25T,7,1,0,132485.42
Hapur,Gandhinagar,1045.91,18T,9,0,0,71709.92
Kurnool,Pondicherry,596.46,7.5T,1,0,1,26596.48
Shivpuri,Haldia,1517.46,12T,12,1,1,83426.27
Budaun,Tumkur,2057.21,12T,3,1,0,118658.17
Udaipur,Raichur,1268.68,12T,9,0,1,71147.78
Pondicherry,Kanchipuram,128.62,7.5T,5,0,1,6077.96
Karnal,Kishangarh,522.04,25T,8,1,0,42046.11
Darbhanga,Durgapur,409.73,7.5T,8,1,0,18405.39
Muzaffarnagar,Hathras,263.45,3.5T,18,1,0,10774.1
Jabalpur,Damoh,118.33,25T,10,0,0,8968.86
Belgaum,Fatehpur,1649.07,7.5T,5,1,1,77886.52
Chennai,Gandhinagar,1760.27,12T,19,1,1,97731.66
Nandyal,Agra,1624.45,7.5T,3,1,1,71400.45
Satna,Hajipur,625.81,7.5T,5,0,1,29594.17
Puri,Mangalore,1798.73,18T,5,1,1,120862.99
Faridabad,Mumbai,1434.02,7.5T,7,0,0,63072.45
Ranchi,Bhopal,1099.23,12T,11,1,1,59492.61
Bhavnagar,Rourkela,1764.31,7.5T,13,0,1,76903.98
Vaniyambadi,Sambalpur,1426.27,18T,10,1,0,97400.9
Beawar,Patna,1502.71,7.5T,6,0,1,71031.73
Malda,Guwahati,523.04,25T,1,0,1,40461.12
Bareilly,Allahabad,527.04,12T,15,0,1,31086.83
Dewas,Alappuzha,1868.59,3.5T,5,1,1,65224.75
Cuttack,Agartala,883.55,3.5T,9,0,0,29816.64
Saharsa,Bihar Sharif,178.14,18T,5,0,0,11651.26
Lakhimpur,Haldia,1299.44,7.5T,19,1,1,59228.12
Guwahati,Anantapur,2525.13,3.5T,10,1,1,89760.88
Thrissur,Sirsa,2642.3,3.5T,11,1,0,93740.74
Satna,Vijayawada,1123.38,3.5T,9,1,0,41856.02
Sagar,Katni,231.63,7.5T,15,0,0,11519.42
Kolkata,Sikar,1963.41,7.5T,13,1,1,85596.84
Ichalkaranji,Kurnool,511.7,7.5T,10,1,0,25021.46
Bhilwara,Hazaribagh,1507.27,18T,16,1,1,95314.13
Solapur,Dhule,476.74,25T,14,0,0,36783.72
Banda,Cuddalore,1907.36,7.5T,14,1,0,89616.1
Jalpaiguri,Chandigarh,1759.13,12T,14,0,0,93824.65
Chennai,Tumkur,441.17,25T,19,1,1,35748.66
Farrukhabad,Saharsa,994.16,3.5T,2,1,0,35358.95
Hospet,Unnao,1663.89,3.5T,1,1,0,58700.51
Chhatarpur,Delhi,609.54,3.5T,17,0,1,21873.43
Thanesar,Veraval,1543.27,18T,9,0,0,104565.39
Gandhidham,Chennai,1974.99,25T,9,0,0,147443.95
Kollam,Bardhaman,2528.59,12T,6,0,1,136997.57
Purnia,Noida,1458.26,18T,7,1,1,100220.65
Belgaum,Bokaro Steel City,1947.2,18T,8,0,0,123717.77
Salem,Rajamahendravaram,897.66,3.5T,7,0,1,32727.8
Agartala,Kasaragod,2753.8,18T,3,0,1,176309.81
Nanded,Guna,762.66,18T,11,0,0,52212.7
Adoni,Shimoga,334.27,3.5T,5,0,1,11872.46
Muzaffarpur,Firozabad,977.61,7.5T,9,0,0,45727.35
Parbhani,Bellary,572.23,18T,16,1,1,40590.16
Bokaro Steel City,Nanded,1377.07,12T,9,1,0,74287.49
Guwahati,Ranchi,969.2,7.5T,11,0,1,43347.47
Dehradun,Ahmednagar,1622.2,25T,5,0,0,117496.87
Modinagar,Singrauli,954.43,7.5T,11,1,0,43433.82
Damoh,Siliguri,1308.7,12T,2,0,0,69465.07
Allahabad,Junagadh,1670.85,7.5T,17,0,0,79197.36
Kolhapur,Panipat,1800.19,18T,3,1,0,122783.92
Batala,Durg,1698.72,18T,3,0,1,112397.62
Morena,Silchar,2064.71,18T,10,1,0,138042.78
Amroha,Ongole,1871.98,18T,18,1,1,126512.87
Sri Ganganagar,Salem,2600.36,18T,4,1,0,164353.81
Shantipur,Tirupur,2283.75,7.5T,17,1,1,102944.7
Varanasi,Orai,498.54,12T,10,1,0,29718.25
Farrukhabad,Kakinada,1488.36,7.5T,16,1,1,69746.83
Kadapa,Khandwa,1077.03,7.5T,14,0,1,50967.26
Tuticorin,Raebareli,2462.03,7.5T,6,1,1,112226.05
Pondicherry,Bengaluru,341.19,12T,14,0,0,19885.4
Gudiyatham,Hassan,384.62,3.5T,17,1,0,14689.66
Jalgaon,Kollam,1687.2,12T,11,0,0,97992.39
Batala,Moradabad,644.8,7.5T,16,0,0,29018.22
Siliguri,Belgaum,2450.55,12T,11,0,0,131122.82
Nellore,Jodhpur,1900.55,3.5T,13,1,0,69065.9
Khambhat,Cuttack,1857.57,12T,16,1,0,98474.78
Sambalpur,Kollam,2021.99,12T,16,1,0,106902.52
Hindupur,Kanpur,1794.63,18T,11,0,1,113004.93
Robertsonpet,Kollam,608.61,18T,14,0,1,41809.93
Vaniyambadi,Sri Ganganagar,2478.05,7.5T,17,0,0,117843.42
Tirupati,Etawah,1826.23,25T,11,1,0,136468.39
Gandhidham,Damoh,1295.88,12T,13,0,0,73677.73
Gandhidham,Delhi,1246.72,7.5T,4,1,0,54746.33
Tumkur,Nizamabad,751.98,12T,2,0,1,41835.52
Naya Raipur,Raebareli,707.3,3.5T,19,0,0,25529.93
Veraval,Modinagar,1486.43,25T,14,1,0,117859.5
Ramagundam,Yamunanagar,1606.55,25T,10,0,1,117495.42
Faizabad,Panipat,805.37,12T,18,0,0,45319.14
Bhiwani,Malegaon,1165.46,25T,2,0,0,85074.61
Hisar,Calicut,2482.31,3.5T,3,0,1,86907.26
Bokaro Steel City,Pune,1849.4,18T,17,0,0,124663.07
Satna,Gudiyatham,1639.97,12T,3,0,0,86275.13
Thanesar,Thanjavur,2680.95,25T,14,0,1,193424.86
Ambur,Nashik,1211.31,3.5T,13,1,1,45062.28
Khammam,Nabadwip,1424.51,3.5T,14,0,0,52294.33
Coimbatore,Faizabad,2301.67,12T,9,1,1,129010.47
Tirupur,Silchar,2866.1,3.5T,11,0,0,102614.32
Gurgaon,Parbhani,1276.76,18T,6,1,0,85750.17
Morbi,Guna,933.24,18T,9,1,1,60557.43
Unnao,Davangere,1790.83,12T,6,0,0,101436.24
Bongaigaon,Dimapur,455.25,18T,17,1,0,30264.85
Nizamabad,Calicut,1077.65,18T,6,1,1,68714.2
Bokaro Steel City,Katihar,325.87,3.5T,3,0,0,11700.33
Sitapur,Surendranagar,1422.75,25T,3,1,0,106216.61
Bhubaneswar,Baharampur,635.46,3.5T,10,0,0,22327.28
Jalpaiguri,Thrissur,2819.42,12T,9,1,0,158666.6
Nandyal,Shahjahanpur,1732.6,25T,1,0,0,126573.03
Puri,Bidar,1185.0,7.5T,13,0,0,54434.29
Rajnandgaon,Raiganj,1167.38,7.5T,9,1,0,52171.19
Begusarai,Proddatur,1815.42,3.5T,6,1,1,64227.5
Nandyal,Aligarh,1723.98,12T,12,0,1,91947.64
Latur,Jamshedpur,1470.36,7.5T,18,0,1,70659.97
Parbhani,Tiruchirappalli,1205.34,3.5T,3,1,0,42371.93
Mangalore,Bidar,785.17,25T,6,0,1,57424.96
Shimoga,Jaunpur,1915.23,25T,14,0,1,140024.75
Shimoga,Saharsa,2257.0,7.5T,6,0,0,96981.65
Satna,Patiala,1007.26,25T,11,1,0,76346.81
Etawah,Eluru,1427.09,18T,14,0,1,93877.53
Bettiah,Davangere,2086.01,7.5T,4,1,1,90896.52
